timestamp,symbol,open,high,low,price,volume,latest_trading_day,previous_close,change,change_percent
2025-02-12T06:07:20.563797,AAPL,228.2,235.23,228.13,232.62,53718362,2025-02-11,227.65,4.97,2.1832%
2025-02-12T06:07:20.625287,MSFT,409.64,412.49,409.3,411.44,18140592,2025-02-11,412.22,-0.78,-0.1892%
2025-02-12T06:07:20.688701,GOOG,186.835,188.8,186.08,187.07,13028100,2025-02-11,188.2,-1.13,-0.6004%
2025-02-12T06:07:20.752411,NVDA,132.58,134.48,131.02,132.8,178902379,2025-02-11,133.57,-0.77,-0.5765%
2025-02-12T06:07:20.809637,IBM,251.1,256.75,250.58,254.7,4801550,2025-02-11,249.27,5.43,2.1784%
2025-02-12T06:07:20.864810,TSLA,345.8,349.37,325.1,328.5,116725895,2025-02-11,350.73,-22.23,-6.3382%
2025-02-12T06:07:20.926898,AMZN,231.92,233.44,230.13,232.76,23713726,2025-02-11,233.14,-0.38,-0.1630%
2025-02-12T06:07:21.046149,META,713.32,723.66,710.04,719.8,12997959,2025-02-11,717.4,2.4,0.3345%
2025-02-12T06:07:21.126804,ORCL,177.62,179.12,176.45,177.19,6528766,2025-02-11,178.92,-1.73,-0.9669%
2025-02-12T06:07:21.194019,KO,67.5,67.67,66.41,67.6,30589148,2025-02-11,64.55,3.05,4.7250%
2025-02-12T06:24:37.724647,AAPL,228.2,235.23,228.13,232.62,53718362,2025-02-11,227.65,4.97,2.1832%
2025-02-12T06:24:37.968420,MSFT,409.64,412.49,409.3,411.44,18140592,2025-02-11,412.22,-0.78,-0.1892%
2025-02-12T06:24:38.096579,GOOG,186.835,188.8,186.08,187.07,13028100,2025-02-11,188.2,-1.13,-0.6004%
2025-02-12T06:24:38.232446,NVDA,132.58,134.48,131.02,132.8,178902379,2025-02-11,133.57,-0.77,-0.5765%
2025-02-12T06:24:38.351079,IBM,251.1,256.75,250.58,254.7,4801550,2025-02-11,249.27,5.43,2.1784%
2025-02-12T06:24:38.476370,TSLA,345.8,349.37,325.1,328.5,116725895,2025-02-11,350.73,-22.23,-6.3382%
2025-02-12T06:24:38.578404,AMZN,231.92,233.44,230.13,232.76,23713726,2025-02-11,233.14,-0.38,-0.1630%
2025-02-12T06:24:38.709979,META,713.32,723.66,710.04,719.8,12997959,2025-02-11,717.4,2.4,0.3345%
2025-02-12T06:24:38.840685,ORCL,177.62,179.12,176.45,177.19,6528766,2025-02-11,178.92,-1.73,-0.9669%
2025-02-12T06:24:38.952856,KO,67.5,67.67,66.41,67.6,30589148,2025-02-11,64.55,3.05,4.7250%
2025-02-12T07:16:03.752557,AAPL,228.2,235.23,228.13,232.62,53718362,2025-02-11,227.65,4.97,2.1832%
2025-02-12T07:16:03.809220,MSFT,409.64,412.49,409.3,411.44,18140592,2025-02-11,412.22,-0.78,-0.1892%
2025-02-12T07:16:03.859380,GOOG,186.835,188.8,186.08,187.07,13028100,2025-02-11,188.2,-1.13,-0.6004%
2025-02-12T07:16:03.915941,NVDA,132.58,134.48,131.02,132.8,178902379,2025-02-11,133.57,-0.77,-0.5765%
2025-02-12T07:16:03.966284,IBM,251.1,256.75,250.58,254.7,4801550,2025-02-11,249.27,5.43,2.1784%
2025-02-12T07:16:04.025076,TSLA,345.8,349.37,325.1,328.5,116725895,2025-02-11,350.73,-22.23,-6.3382%
2025-02-12T07:16:04.075588,AMZN,231.92,233.44,230.13,232.76,23713726,2025-02-11,233.14,-0.38,-0.1630%
2025-02-12T07:16:04.136548,META,713.32,723.66,710.04,719.8,12997959,2025-02-11,717.4,2.4,0.3345%
2025-02-12T07:16:04.225205,ORCL,177.62,179.12,176.45,177.19,6528766,2025-02-11,178.92,-1.73,-0.9669%
2025-02-12T07:16:04.273446,KO,67.5,67.67,66.41,67.6,30589148,2025-02-11,64.55,3.05,4.7250%
